ID;moneda;descripción;símbolo;pais;decimales
978;EUR;Euro;€;ES;2
756;CHF;"Swiss Franc";fr.;CH;2
752;SEK;"Swedish Krona";kr;SE;2
208;DKK;"Danish Krone";kr;DK;2
50;BDT;TAKA;৳;BD;2
52;BBD;"BARBADOS DOLLAR ";$;BB;2
64;BTN;"NGULTRUM BUTANES";Nu.;BT;2
68;BOB;"BOLIVIAN PESO ";Bs.;BO;2
70;BAM;"DINAR ";KM;BA;2
72;BWP;PULA;P;BW;2
84;BZD;"BELIZE DOLLAR ";$;BZ;2
90;SBD;"SOLOMON ISLANDS DOLL";$;SC;2
96;BND;"BRUNEI DOLLAR ";$;BN;2
108;BIF;"BURUNDI FRANC ";Fr;BI;2
116;KHR;RIEL;៛;KI;2
124;CAD;"CANADIAN DOLLAR ";$;CA;2
132;CVE;"CAPE VERDE ESCUDO ";"Esc, $";CW;2
136;KYD;"CAYMAN ISLANDS DOLLA";$;KZ;2
144;LKR;"SRI LANKA RUPEE ";Rs;LR;2
152;CLP;"CHILEAN PESO";$;CL;2
156;CNY;"YUAN RENMINBI ";"¥, 元";CO;2
170;COP;"COLOMBIAN PESO";$;CR;2
174;KMF;"COMORO FRANC";Fr;KN;2
188;CRC;"COSTA RICAN COLON ";₡;CU;2
191;HRK;"CROATIAN KUNA ";kn;HT;2
203;CZK;"CZECH KORUNA";Kč;DE;2
214;DOP;"DOMINICAN PESO";$;DZ;2
222;SVC;"EL SALVADOR COLON ";₡;SX;2
230;ETB;"ETHIOPIAN BIRR";Br;FI;2
262;DJF;"DJIBOUTI FRANC";Fr;DK;2
270;GMD;DALASI;D;GN;2
292;GIP;"GIBRALTAR POUND ";£;GL;2
320;GTQ;"QUETZAL ";Q;GU;2
324;GNF;SYLI;Fr;GP;2
332;HTG;GOURDE;G;HU;2
340;HNL;"LEMPIRA ";L;HR;2
348;HUF;FORINT;Ft;ID;2
352;ISK;"ICELAND KRONA ";kr;IT;2
356;INR;"INDIAN RUPEE";₹;BT;2
360;IDR;RUPIAH;Rp;IE;2
368;IQD;"IRAQI DINAR ";ع.د;IR;2
376;ILS;"ISRAEL SHEKEL ";₪;IM;2
388;JMD;"JAMAICAN DOLLAR ";$;JO;2
392;JPY;"YEN ";¥;KE;2
398;KZT;"TENGE ";₸;LA;2
400;JOD;"JORDANIAN DINAR ";د.ا;JP;2
404;KES;"KENYAN SHILLING ";Sh;KG;2
410;KRW;"KOREAN WON";₩;KW;2
414;KWD;"KUWAITI DINAR ";د.ك;KY;2
417;KGS;"SOM ";лв;KH;2
418;LAK;"KIP ";₭;LB;2
422;LBP;"LEBANESE POUND";ل.ل;LC;2
430;LRD;"LIBERIAN DOLLAR ";$;LS;2
434;LYD;"LIBYAN DINAR";ل.د;MA;2
446;MOP;PATACA;P;MP;2
454;MWK;"MALAWI KWACHA ";MK;MX;2
458;MYR;"MALAYSIAN RINGGIT ";RM;MZ;2
462;MVR;"MALDIVE RUPEE ";.ރ;MW;2
478;MRO;"OUGUIYA ";UM;MS;2
480;MUR;"MAURITIUS RUPEE ";₨;MV;2
484;MXN;"MEXICAN PESO";$;MY;2
496;MNT;TUGRIK;₮;MO;2
498;MDL;"MOLDOVAN LEU";L;ME;2
504;MAD;"MORROCCAN DIRHAM";د.م.;MC;2
512;OMR;"RIAL OMANI";ر.ع.;PA;2
516;NAD;"NAMIBIAN DOLLAR ";$;NC;2
524;NPR;"NEPALESE RUPEE";₨;NR;2
532;ANG;"NETHERLANDS ANTILLIA";ƒ;CX;2
533;AWG;"ARUBAN GUILDER";ƒ;AW;2
548;VUV;VATU;Vt;WF;2
554;NZD;"NEW ZEALAND DOLLAR";$;CL;2
558;NIO;"CORDOBA ";C$;NL;2
566;NGN;"NAIRA ";₦;NI;2
578;NOK;"NORWEGIAN KRONE ";kr;BV;2
586;PKR;"PAKISTAN RUPEE";₨;PL;2
590;PAB;BALBOA;B/.;PE;2
598;PGK;KINA;K;PH;2
600;PYG;"GUARANI ";₲;QA;2
604;PEN;"PERU INTI ";S/;PF;2
608;PHP;"PHILIPPINE PESO ";₱;PK;2
634;QAR;"QATARI RIAL ";ر.ق;RE;2
643;RUB;"RUSSIAN ROUBLE";₽;RW;2
646;RWF;"RWANDA FRANC";Fr;SA;2
682;SAR;"SAUDI RIYAL ";ر.س;SB;2
690;SCR;"SEYCHELLES RUPEE";₨;SD;2
694;SLL;"LEONE ";Le;SM;2
702;SGD;"SINGAPORE DOLLAR";$;SH;2
704;VND;DONG;₫;VU;2
710;ZAR;RAND;R;LT;2
748;SZL;"LILANGENI ";L;TC;2
764;THB;BAHT;฿;TJ;2
776;TOP;"PA'ANGA ";T$;TR;2
780;TTD;"TRINIDAD AND TOBAGO ";$;TV;2
788;TND;"TUNISIAN DINAR";د.ت;TO;2
807;MKD;"MACEDONIAN DENAR";ден;ML;2
818;EGP;"EGYPTIAN POUND";"£, ج.م";ER;2
826;GBP;"POUND STERLING";£;GD;2
834;TZS;"TANZANIAN SHILLING";Sh;UA;2
858;UYU;"URUGUAYAN PESO";$;UZ;2
860;UZS;"UZBEKISTAN SUM";лв;VA;2
882;WST;TALA;T;XK;2
886;YER;"YEMINI RIAL ";﷼;YT;2
901;TWD;"NEW TAIWAN DOLLAR ";$;TZ;2
932;ZWL;"DOLAR ZIMBABUENSE";$;ZW;2
936;GHS;"CHANA CEDI";₵;GI;2
938;SDG;"LIBRA SUDANESA";£;SE;2
941;RSD;"DINAR SERBIO";"дин. o din.";RU;2
943;MZN;"MOZAMBIQUE METICAL";MT;NA;2
946;RON;"LEU RUMANO";L;RS;2
950;XAF;"CFA FRANC BEAC";Fr;CF;2
951;XCD;"EAST CARIBBEAN DOLLA";$;AG;2
952;XOF;"CFA FRANC BCEAO ";Fr;BF;2
953;XPF;"CFP FRANC ";Fr;NE;2
968;SRD;"SURINAME DOLLAR ";$;SS;2
969;MGA;ARIARY;Ar;MH;2
971;AFN;"AFGHANI ";؋;AF;2
972;TJS;SOMONI;ЅМ;TK;2
973;AOA;KWANZA;Kz;AO;2
974;BYR;"BELARUSSIAN RUBLE ";Br;BY;2
975;BGN;"NEW LEV ";лв;BG;2
976;CDF;"FRANCO DEL CONGO";Fr;CD;2
980;UAH;"HRYVNIA ";₴;UG;2
985;PLN;"NEW POLISH ZLOTY";zł;PM;2
986;BRL;"BRAZILIAN REAL";R$;BR;2
840;XXX;XXX;XXX;XXX;0
12;DZD;"ALGERIAN DINAR";?.?;EC;2
32;ARS;"ARGENTINE AUSTRAL";$;AR;2
36;AUD;"AUSTRALIAN DOLLAR";$;AU;2
44;BSD;"BAHAMIAN DOLLAR";$;BS;2
48;BHD;"BAHRAINI DINAR";.?.?;BH;2
999;Test;Test;TST;Chupilandia;2
